Player Profile,Baseline,PPO Error,Baseline Error,Improvement (%)
Unseen Low Skill,Rule-Based DDA,0.121591,0.020724,-486.72258
Unseen Low Skill,Static Easy,0.121591,0.461392,73.646877
Unseen Low Skill,Static Medium,0.121591,0.644178,81.12459
Unseen Low Skill,Static Hard,0.121591,0.689921,82.37606
Unseen High Skill,Rule-Based DDA,0.128334,0.296447,56.709359
Unseen High Skill,Static Easy,0.128334,0.290947,55.891002
Unseen High Skill,Static Medium,0.128334,0.253939,49.462829
Unseen High Skill,Static Hard,0.128334,0.127777,-0.435717
Unseen Fast Learning,Rule-Based DDA,0.070692,0.237495,70.234407
Unseen Fast Learning,Static Easy,0.070692,0.160115,55.84934
Unseen Fast Learning,Static Medium,0.070692,0.020605,-243.078479
Unseen Fast Learning,Static Hard,0.070692,0.170973,58.653251
Unseen Strong Fatigue,Rule-Based DDA,0.026916,0.179447,85.00042
Unseen Strong Fatigue,Static Easy,0.026916,0.085371,68.471498
Unseen Strong Fatigue,Static Medium,0.026916,0.268761,89.985043
Unseen Strong Fatigue,Static Hard,0.026916,0.458879,94.134337
Unseen High Noise,Rule-Based DDA,0.052476,0.119871,56.223144
Unseen High Noise,Static Easy,0.052476,0.209403,74.940401
Unseen High Noise,Static Medium,0.052476,0.442957,88.153352
Unseen High Noise,Static Hard,0.052476,0.596528,91.203169
