Method,Total Reward,Final Win Rate,Mean Rolling Win Rate,Win Rate Error,Mean Difficulty,Difficulty Std,Mean Absolute Difficulty Change,Episode Length,Player Profile,Seed
PPO DDA,158.53263944299385,0.6,0.5650515873015872,0.13494841269841273,0.09214131159707904,0.1835459959751189,0.11206805713512191,200,Unseen Low Skill,100
Static Easy,-216.53553545882377,0.3,0.2101011904761905,0.4898988095238095,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,100
Static Medium,-444.5922559982661,0.1,0.07514484126984126,0.6248551587301587,0.5,0.0,0.0,200,Unseen Low Skill,100
Static Hard,-538.1205494654786,0.0,0.030144841269841266,0.6698551587301587,0.699999988079071,0.0,0.0,200,Unseen Low Skill,100
Rule-Based DDA,150.20473165238164,0.9,0.7188730158730158,0.01887301587301582,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,100
PPO DDA,168.29950770953613,0.5,0.5843373015873016,0.11566269841269838,0.12170645795762539,0.20436592270216333,0.1307373142347264,200,Unseen Low Skill,101
Static Easy,-177.62315859109418,0.3,0.2433948412698413,0.45660515873015867,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,101
Static Medium,-472.06649111751153,0.1,0.065,0.635,0.5,0.0,0.0,200,Unseen Low Skill,101
Static Hard,-576.7994721598778,0.0,0.01,0.69,0.699999988079071,0.0,0.0,200,Unseen Low Skill,101
Rule-Based DDA,145.1967899456284,0.7,0.7043948412698413,0.004394841269841354,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,101
PPO DDA,166.3037101947289,0.6,0.581906746031746,0.11809325396825399,0.10745290238410235,0.19978640210239,0.12590253390559,200,Unseen Low Skill,102
Static Easy,-241.15629866010588,0.1,0.19105555555555553,0.5089444444444444,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,102
Static Medium,-508.603858277962,0.1,0.040999999999999995,0.6589999999999999,0.5,0.0,0.0,200,Unseen Low Skill,102
Static Hard,-593.9988845425856,0.1,0.001,0.699,0.699999988079071,0.0,0.0,200,Unseen Low Skill,102
Rule-Based DDA,146.7490755628413,0.7,0.7185555555555555,0.018555555555555547,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,102
PPO DDA,166.3182956563598,0.6,0.5873809523809523,0.11261904761904762,0.11097179010510444,0.2034800737485793,0.1273318119534296,200,Unseen Low Skill,103
Static Easy,-98.08368749440469,0.4,0.2933809523809524,0.40661904761904755,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,103
Static Medium,-512.6920685606237,0.0,0.04005555555555555,0.6599444444444444,0.5,0.0,0.0,200,Unseen Low Skill,103
Static Hard,-585.5472264533579,0.0,0.005,0.695,0.699999988079071,0.0,0.0,200,Unseen Low Skill,103
Rule-Based DDA,163.80252338372523,0.9,0.7113809523809524,0.011380952380952492,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,103
PPO DDA,176.5009599120881,0.7,0.5860873015873015,0.11391269841269847,0.07752830144017935,0.15443702553289312,0.10051324297135798,200,Unseen Low Skill,104
Static Easy,-236.22748513594243,0.4,0.19255555555555556,0.5074444444444444,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,104
Static Medium,-520.833626320017,0.0,0.035,0.6649999999999999,0.5,0.0,0.0,200,Unseen Low Skill,104
Static Hard,-595.9160945047089,0.0,0.0,0.7,0.699999988079071,0.0,0.0,200,Unseen Low Skill,104
Rule-Based DDA,156.41746844655722,0.8,0.6720555555555555,0.02794444444444444,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,104
PPO DDA,161.47615172201392,0.7,0.5735039682539683,0.12649603174603163,0.09846906263381243,0.19601087482233026,0.13763461168387428,200,Unseen Low Skill,105
Static Easy,-191.36383615049013,0.2,0.231,0.469,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,105
Static Medium,-427.0661453279138,0.0,0.08500000000000002,0.615,0.5,0.0,0.0,200,Unseen Low Skill,105
Static Hard,-585.6195945361064,0.0,0.005,0.695,0.699999988079071,0.0,0.0,200,Unseen Low Skill,105
Rule-Based DDA,150.56006629929482,0.7,0.7038948412698411,0.003894841269841187,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,105
PPO DDA,171.29626702264065,0.7,0.6015357142857143,0.09846428571428567,0.10799022441729904,0.20306928802655932,0.1250994702305027,200,Unseen Low Skill,106
Static Easy,-162.6215543164356,0.2,0.2592460317460318,0.4407539682539682,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,106
Static Medium,-460.69906718937705,0.0,0.07201785714285715,0.6279821428571428,0.5,0.0,0.0,200,Unseen Low Skill,106
Static Hard,-554.8697631041723,0.0,0.024644841269841268,0.6753551587301587,0.699999988079071,0.0,0.0,200,Unseen Low Skill,106
Rule-Based DDA,194.90253986972493,0.8,0.7367460317460318,0.03674603174603186,0.011250000055879355,0.0587639644526845,0.002261306472759151,200,Unseen Low Skill,106
PPO DDA,128.31171459763414,0.6,0.5428234126984127,0.15717658730158723,0.0894520815834403,0.18528424462818155,0.10018508682897942,200,Unseen Low Skill,107
Static Easy,-157.95422334571927,0.1,0.2531230158730159,0.44687698412698407,0.30000001192092896,0.0,0.0,200,Unseen Low Skill,107
