,,Win Rate Error,Win Rate Error,Difficulty Change Std,Difficulty Change Std,Mean Absolute Difficulty Change,Mean Absolute Difficulty Change,Total Reward,Total Reward,Mean Win Rate,Mean Win Rate,Mean Difficulty,Mean Difficulty,Mean Error Rate,Mean Error Rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Player Profile,Method,,,,,,,,,,,,,,
Fatigue,PPO DDA,0.0882,0.0089,0.0702,0.0014,0.0586,0.0015,206.5148,7.4205,0.7485,0.0064,0.4271,0.0121,0.0152,0.004
Fatigue,Rule-Based DDA,0.1351,0.0193,0.014,0.0005,0.0124,0.0009,170.3989,15.5461,0.6757,0.0118,0.4826,0.0185,0.0147,0.0052
Fatigue,Static Easy,0.2474,0.0078,0.0055,0.0,0.0012,0.0,94.0272,5.8501,0.9451,0.0077,0.206,0.0,0.0001,0.0002
Fatigue,Static Hard,0.4999,0.0293,0.0055,0.0,0.0012,0.0,-259.1534,39.1815,0.2108,0.0287,0.794,0.0,0.2399,0.0036
Fatigue,Static Medium,0.1964,0.023,0.0,0.0,0.0,0.0,118.2328,19.5329,0.6523,0.0305,0.5,0.0,0.0297,0.002
Learning,PPO DDA,0.0949,0.0068,0.0686,0.0024,0.0569,0.0025,198.2645,5.8543,0.7416,0.0101,0.4276,0.0153,0.0143,0.0042
Learning,Rule-Based DDA,0.1468,0.0159,0.0141,0.0003,0.0125,0.0006,155.7939,14.4106,0.6941,0.0088,0.4659,0.0225,0.0164,0.0036
Learning,Static Easy,0.2361,0.022,0.0055,0.0,0.0012,0.0,98.0602,18.146,0.8895,0.0235,0.206,0.0,0.0036,0.001
Learning,Static Hard,0.4783,0.0196,0.0055,0.0,0.0012,0.0,-241.8796,24.4646,0.2246,0.0193,0.794,0.0,0.2396,0.0034
Learning,Static Medium,0.2657,0.0168,0.0,0.0,0.0,0.0,44.278,15.2142,0.6098,0.0233,0.5,0.0,0.0515,0.0019
Noisy,PPO DDA,0.0843,0.0049,0.0703,0.0015,0.059,0.0014,208.0911,4.7194,0.7413,0.0047,0.4082,0.0134,0.0623,0.0072
Noisy,Rule-Based DDA,0.1254,0.0179,0.0137,0.0006,0.0118,0.0011,177.6321,13.7821,0.6912,0.0118,0.4516,0.02,0.0676,0.0077
Noisy,Static Easy,0.2288,0.0198,0.0055,0.0,0.0012,0.0,106.5878,15.4467,0.9174,0.0161,0.206,0.0,0.0151,0.0027
Noisy,Static Hard,0.4829,0.0341,0.0055,0.0,0.0012,0.0,-210.5409,48.9007,0.2204,0.0358,0.794,0.0,0.3188,0.011
Noisy,Static Medium,0.1299,0.016,0.0,0.0,0.0,0.0,172.727,13.5623,0.6375,0.0313,0.5,0.0,0.0806,0.0084
Stable,PPO DDA,0.0745,0.0085,0.0662,0.002,0.0559,0.002,216.4778,8.0214,0.718,0.0107,0.3467,0.0182,0.0153,0.0046
Stable,Rule-Based DDA,0.1286,0.0101,0.014,0.0003,0.0123,0.0005,175.3336,7.2281,0.6819,0.0066,0.3807,0.0143,0.0137,0.0028
Stable,Static Easy,0.2089,0.018,0.0055,0.0,0.0012,0.0,120.7925,13.8917,0.8969,0.0167,0.206,0.0,0.0003,0.0004
Stable,Static Hard,0.6123,0.0198,0.0055,0.0,0.0012,0.0,-423.9687,32.1267,0.0899,0.022,0.794,0.0,0.3356,0.0036
Stable,Static Medium,0.2261,0.0297,0.0,0.0,0.0,0.0,91.1715,26.8482,0.4859,0.0355,0.5,0.0,0.0416,0.0036
